size,thread_count,sum,time
10000000,11,55009009,24685
10000000,12,55009009,22440
10000000,16,55009009,25544
10000000,100,55009009,23528
10000000,500,55009009,30525
10000000,2000,55009009,52884
10000000,1,55001521,150178
10000000,2,55001521,74971
10000000,3,55001521,77661
10000000,4,55001521,64630
10000000,5,55001521,56292
10000000,6,55001521,51257
10000000,7,55001521,37405
10000000,8,55001521,33442
10000000,9,55001521,29440
10000000,10,55001521,26339
10000000,11,55001521,23994
10000000,12,55001521,21964
10000000,16,55001521,25446
10000000,100,55001521,26162
10000000,500,55001521,30549
10000000,2000,55001521,52835
10000000,1,55008354,149505
10000000,2,55008354,74337
10000000,3,55008354,51381
10000000,4,55008354,69619
10000000,5,55008354,56206
10000000,6,55008354,52177
10000000,7,55008354,40967
10000000,8,55008354,36897
10000000,9,55008354,33031
10000000,10,55008354,29689
10000000,11,55008354,27085
10000000,12,55008354,46159
10000000,16,55008354,36056
10000000,100,55008354,23989
10000000,500,55008354,31228
10000000,2000,55008354,53025
10000000,1,55002370,147773
10000000,2,55002370,100688
10000000,3,55002370,72696
10000000,4,55002370,64719
10000000,5,55002370,31200
10000000,6,55002370,52139
10000000,7,55002370,37376
10000000,8,55002370,33228
10000000,9,55002370,29677
10000000,10,55002370,33372
10000000,11,55002370,30323
10000000,12,55002370,37815
10000000,16,55002370,35859
10000000,100,55002370,23693
10000000,500,55002370,29450
10000000,2000,55002370,52968
10000000,1,55004001,147821
10000000,2,55004001,75080
10000000,3,55004001,50003
10000000,4,55004001,64100
10000000,5,55004001,30831
10000000,6,55004001,52008
10000000,7,55004001,37906
10000000,8,55004001,32824
10000000,9,55004001,29534
10000000,10,55004001,27001
10000000,11,55004001,23977
10000000,12,55004001,22727
10000000,16,55004001,32210
10000000,100,55004001,24209
10000000,500,55004001,30482
10000000,2000,55004001,52624
100000000,1,550033898,1477902
100000000,2,550033898,782483
100000000,3,550033898,521191
100000000,4,550033898,397196
100000000,5,550033898,297429
100000000,6,550033898,275018
100000000,7,550033898,312453
100000000,8,550033898,274039
100000000,9,550033898,274933
100000000,10,550033898,256328
100000000,11,550033898,233740
100000000,12,550033898,214476
100000000,16,550033898,256977
100000000,100,550033898,216635
100000000,500,550033898,217955
100000000,2000,550033898,242332
100000000,1,550042819,1477341
100000000,2,550042819,765019
100000000,3,550042819,520972
100000000,4,550042819,397320
100000000,5,550042819,324733
100000000,6,550042819,248702
100000000,7,550042819,313487
100000000,8,550042819,296744
100000000,9,550042819,284719
100000000,10,550042819,256055
100000000,11,550042819,233864
100000000,12,550042819,214417
100000000,16,550042819,250539
100000000,100,550042819,218026
100000000,500,550042819,222811
100000000,2000,550042819,241113
100000000,1,549997022,1479090
100000000,2,549997022,766129
100000000,3,549997022,519899
100000000,4,549997022,403694
100000000,5,549997022,326833
100000000,6,549997022,285653
100000000,7,549997022,313413
100000000,8,549997022,276852
100000000,9,549997022,287109
100000000,10,549997022,256247
100000000,11,549997022,233936
100000000,12,549997022,213647
100000000,16,549997022,241757
100000000,100,549997022,218709
100000000,500,549997022,217582
100000000,2000,549997022,241966
100000000,1,549990717,1659286
100000000,2,549990717,764776
100000000,3,549990717,527524
100000000,4,549990717,397472
